Time Frame,Date,Ta (°C),Tm (°C),I3 (W/m2),P (kW)
16,03-05-2012 16:55,13.009,12.05,52.46625,6.495125
17,03-05-2012 17:55,11.807,8.4975,10.40933333,0.00755
18,03-05-2012 18:55,10.325,5.682833333,0,0
19,03-05-2012 19:55,9.662,4.668833333,0,0
20,03-05-2012 20:55,8.913666667,3.821166667,0,0
21,03-05-2012 21:45,8.046,2.9654,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,03-06-2012 03:55,4.9,1.3,0,0
4,03-06-2012 04:55,4.7055,1.424666667,0,0
5,03-06-2012 05:55,4.75,1.219,22.08983333,14.75265
6,03-06-2012 06:55,5.078666667,2.003166667,153.4276667,127.1630833
7,03-06-2012 07:55,7.105,5.859666667,323.2138333,302.4557
8,03-06-2012 08:55,10.76,16.7475,537.3063333,504.2257333
9,03-06-2012 09:55,14.979,27.10816667,444.5533333,409.70235
10,03-06-2012 10:55,16.50533333,33.09066667,575.4256667,521.7524333
11,03-06-2012 11:55,17.66416667,35.36666667,391.6356667,379.09365
12,03-06-2012 12:55,17.66316667,28.595,414.1451667,352.5185167
13,03-06-2012 13:55,17.5715,26.72933333,560.7076667,519.7916
14,03-06-2012 14:55,17.81416667,31.28183333,276.1431667,240.6078667
15,03-06-2012 15:55,16.54116667,22.95333333,156.1210526,135.1640526
16,03-06-2012 16:15,15.5,17.8935,15.91966667,12.97435
17,03-06-2012 17:57,13.1795,10.36366667,0,0
18,03-06-2012 18:57,11.9885,7.481166667,0,0
19,03-06-2012 19:57,11.634,8.025166667,0,0
20,03-06-2012 20:57,10.9335,6.302333333,0,0
21,03-06-2012 21:47,10.4874,5.7132,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,03-07-2012 04:56,8.147833333,4.324666667,0,0
5,03-07-2012 05:56,8.315666667,4.751833333,24.36318182,16.82213636
6,03-07-2012 06:54,8.35025,4.32625,155.5421667,139.2253667
7,03-07-2012 07:54,9.851666667,7.804166667,309.4535,293.9393833
8,03-07-2012 08:54,11.90266667,14.08866667,548.4306667,511.9269
9,03-07-2012 09:54,14.1315,24.8095,639.5715,571.0051167
10,03-07-2012 10:54,15.57383333,29.0105,706.1861667,639.3058833
11,03-07-2012 11:54,17.00283333,38.76216667,370.6546667,335.8252667
12,03-07-2012 12:54,17.189,28.09266667,159.399,142.9944167
13,03-07-2012 13:54,15.3955,17.72,68.9765,59.63633333
14,03-07-2012 14:54,13.755,13.93466667,40.47933333,33.88961667
15,03-07-2012 15:54,13.15516667,11.57816667,18.63633333,13.98176667
16,03-07-2012 16:54,13.05433333,11.62883333,3.06,2.546733333
17,03-07-2012 17:54,12.76783333,11.01166667,0,0
18,03-07-2012 18:54,12.19133333,9.520333333,0,0
19,03-07-2012 19:54,11.63583333,8.026666667,0,0
20,03-07-2012 20:54,11.35233333,8.107333333,0,0
21,03-07-2012 21:54,11.03633333,8.1895,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,03-08-2012 04:54,11.37933333,9.668333333,0,0
5,03-08-2012 05:54,11.09533333,10.06966667,0,0
6,03-08-2012 06:54,10.7895,10.22116667,2.2565,0.887716667
7,03-08-2012 07:54,10.2325,9.827833333,102.2505,79.22546667
8,03-08-2012 08:54,10.9755,10.1035,259.331,237.0225167
9,03-08-2012 09:54,12.1695,14.539,440.1471667,379.4532833
10,03-08-2012 10:54,14.36083333,20.8185,575.0285,504.7698333
11,03-08-2012 11:54,15.6775,25.18483333,537.8455,469.1978
12,03-08-2012 12:54,17.3585,30.12783333,496.6968333,435.14515
13,03-08-2012 13:54,18.52866667,30.0815,446.4411667,393.2717333
14,03-08-2012 14:54,18.39,28.90233333,198.5911667,182.7285
15,03-08-2012 15:54,17.1285,22.25183333,164.466,124.5199667
16,03-08-2012 16:54,15.825,17.32833333,48.33983333,36.75556667
17,03-08-2012 17:54,14.70566667,14.31266667,0,0
18,03-08-2012 18:54,13.4825,10.811,0,0
